frame_index,elapsed_seconds,epoch_seconds,current_speed,current_angle,marker
0,0.612636,1781128749.216761,0,86,
1,0.681272,1781128749.285398,224,86,
2,0.745781,1781128749.349907,188,79,
3,0.806728,1781128749.410854,188,72,
4,0.875386,1781128749.479511,188,69,
5,0.941244,1781128749.545369,188,69,
6,1.003294,1781128749.607420,188,69,
7,1.083516,1781128749.687641,188,69,auto_front_wall
8,1.154210,1781128749.758336,188,69,
9,1.212510,1781128749.816635,188,69,
10,1.270626,1781128749.874751,188,69,
11,1.328885,1781128749.933010,188,69,
12,1.389240,1781128749.993366,188,69,
13,1.453578,1781128750.057703,188,69,
14,1.511498,1781128750.115623,188,69,
15,1.576005,1781128750.180130,188,69,
16,1.641084,1781128750.245209,188,69,
17,1.703949,1781128750.308075,188,73,
18,1.762689,1781128750.366815,188,69,
19,1.820340,1781128750.424465,188,69,
20,1.876190,1781128750.480315,188,69,
21,1.929744,1781128750.533869,188,69,
22,1.985162,1781128750.589288,188,69,
23,2.061570,1781128750.665696,188,69,
24,2.127467,1781128750.731593,188,69,
25,2.186582,1781128750.790708,188,69,
26,2.248207,1781128750.852332,188,69,
27,2.304033,1781128750.908158,188,69,
28,2.364552,1781128750.968677,188,69,
29,2.418099,1781128751.022225,188,69,
30,2.484972,1781128751.089098,188,69,auto_front_wall
31,2.569029,1781128751.173155,188,69,
32,2.633491,1781128751.237617,188,69,
33,2.693688,1781128751.297813,188,69,
34,2.760649,1781128751.364774,188,69,
35,2.817294,1781128751.421420,214,73,
36,2.875723,1781128751.479849,214,77,
37,2.938041,1781128751.542166,214,81,
38,3.008512,1781128751.612637,214,85,
39,3.071081,1781128751.675207,214,88,
40,3.148504,1781128751.752630,214,88,
41,3.216560,1781128751.820685,214,85,
42,3.275639,1781128751.879765,196,84,
43,3.334586,1781128751.938711,214,80,
44,3.401515,1781128752.005641,196,84,
45,3.462013,1781128752.066139,224,86,
46,3.536529,1781128752.140655,214,88,
47,3.621414,1781128752.225540,214,89,
48,3.679663,1781128752.283788,214,89,
49,3.744428,1781128752.348553,214,90,
50,3.802552,1781128752.406677,214,93,
51,3.859813,1781128752.463938,214,90,
52,3.919238,1781128752.523363,214,89,
53,3.977146,1781128752.581272,214,85,
54,4.044450,1781128752.648576,196,84,
55,4.113032,1781128752.717157,196,84,
56,4.177013,1781128752.781139,214,80,
57,4.242311,1781128752.846436,214,84,
58,4.294400,1781128752.898525,214,86,
59,4.359066,1781128752.963192,214,86,
60,4.411056,1781128753.015181,188,79,
61,4.463301,1781128753.067426,188,72,
62,4.525989,1781128753.130114,188,69,
63,4.584770,1781128753.188896,188,73,
64,4.636937,1781128753.241062,188,69,
65,4.697695,1781128753.301821,188,69,
66,4.749333,1781128753.353458,188,69,
67,4.800851,1781128753.404976,188,69,
68,4.862547,1781128753.466673,188,69,
69,4.915965,1781128753.520090,188,69,
70,4.980381,1781128753.584507,188,69,auto_front_wall
71,5.056924,1781128753.661049,188,69,
72,5.125468,1781128753.729594,188,69,
73,5.206895,1781128753.811021,188,69,
74,5.271442,1781128753.875567,188,69,
75,5.334154,1781128753.938279,188,69,
76,5.403920,1781128754.008046,188,69,
77,5.461450,1781128754.065576,188,69,
78,5.529522,1781128754.133647,188,69,
79,5.606683,1781128754.210809,188,69,
80,5.660622,1781128754.264748,188,69,
81,5.714456,1781128754.318581,188,69,
82,5.763236,1781128754.367362,188,69,
83,5.815663,1781128754.419789,188,69,
84,5.870291,1781128754.474416,188,69,
85,5.914268,1781128754.518394,188,69,
86,5.963301,1781128754.567427,188,69,
87,6.027495,1781128754.631621,188,69,
88,6.079493,1781128754.683619,188,69,
89,6.126050,1781128754.730175,188,69,
90,6.181444,1781128754.785569,188,69,
91,6.229754,1781128754.833879,188,69,
92,6.275568,1781128754.879693,188,69,
93,6.322667,1781128754.926793,188,69,
94,6.378318,1781128754.982443,188,69,auto_front_wall
95,6.434532,1781128755.038658,188,69,
96,6.486204,1781128755.090329,188,69,
