frame_index,elapsed_seconds,epoch_seconds,current_speed,current_angle,marker
0,0.891952,1781128161.587785,0,86,
1,0.980862,1781128161.676696,224,86,
2,1.094599,1781128161.790433,196,79,
3,1.256207,1781128161.952040,196,72,
4,1.349930,1781128162.045763,196,65,
5,1.465527,1781128162.161361,196,64,auto_front_wall
6,1.587089,1781128162.282922,196,64,
7,1.677655,1781128162.373489,196,64,
8,1.758318,1781128162.454152,196,64,
9,1.830537,1781128162.526370,196,64,
10,1.935684,1781128162.631517,196,64,
11,2.037473,1781128162.733306,196,64,
12,2.114299,1781128162.810132,196,64,
13,2.204071,1781128162.899904,196,64,
14,2.296016,1781128162.991849,196,64,
15,2.404479,1781128163.100312,196,64,
16,2.477856,1781128163.173689,196,64,
17,2.545160,1781128163.240993,196,64,
18,2.626067,1781128163.321900,196,64,
19,2.699418,1781128163.395251,196,64,
20,2.774273,1781128163.470107,196,64,
21,2.867343,1781128163.563176,196,64,auto_front_wall
22,2.977652,1781128163.673485,196,64,
23,3.080493,1781128163.776327,214,68,
24,3.167372,1781128163.863205,198,72,
25,3.286614,1781128163.982447,214,76,manual_error
