frame_index,elapsed_seconds,epoch_seconds,current_speed,current_angle,marker
0,0.615291,1781126982.125642,0,86,
1,0.721302,1781126982.231653,242,86,
2,0.836627,1781126982.346978,228,89,
3,0.908361,1781126982.418712,242,92,
4,0.979282,1781126982.489633,242,93,
5,1.045333,1781126982.555684,242,91,
6,1.142178,1781126982.652529,242,92,
7,1.248457,1781126982.758808,242,89,
8,1.318403,1781126982.828754,242,89,
9,1.388513,1781126982.898864,242,89,
10,1.463004,1781126982.973355,242,89,
11,1.534222,1781126983.044573,242,89,
12,1.605340,1781126983.115690,242,89,
13,1.684202,1781126983.194553,242,89,
14,1.755464,1781126983.265815,242,90,
15,1.848771,1781126983.359122,242,91,
16,1.937126,1781126983.447477,228,88,
17,2.012340,1781126983.522691,228,85,
18,2.086152,1781126983.596503,228,82,
19,2.192701,1781126983.703052,242,85,
20,2.288759,1781126983.799110,242,86,
21,2.366224,1781126983.876575,242,86,
22,2.465947,1781126983.976298,242,86,
23,2.530094,1781126984.040445,242,86,
24,2.600270,1781126984.110621,210,81,
25,2.720115,1781126984.230466,210,76,
26,2.817885,1781126984.328236,224,76,
27,2.898434,1781126984.408785,210,79,
28,2.962741,1781126984.473092,210,82,
29,3.026800,1781126984.537151,210,85,
30,3.084408,1781126984.594759,210,88,
31,3.185987,1781126984.696338,210,91,
32,3.272062,1781126984.782413,210,88,
33,3.335917,1781126984.846267,214,95,
34,3.431488,1781126984.941839,214,102,
35,3.502872,1781126985.013223,214,109,
36,3.592299,1781126985.102650,214,110,
37,3.690042,1781126985.200393,214,110,auto_front_wall
38,3.790057,1781126985.300408,214,110,
39,3.870322,1781126985.380672,214,110,
40,3.930617,1781126985.440968,214,110,
41,3.985302,1781126985.495653,214,110,
42,4.049042,1781126985.559393,214,110,
43,4.111079,1781126985.621430,214,110,
44,4.186499,1781126985.696850,214,110,
45,4.271734,1781126985.782085,214,110,
46,4.330038,1781126985.840389,214,110,
47,4.385917,1781126985.896268,214,110,
48,4.439972,1781126985.950323,214,110,
49,4.492854,1781126986.003205,214,110,
50,4.552711,1781126986.063062,214,110,
51,4.620931,1781126986.131282,214,110,
52,4.697069,1781126986.207420,214,110,
53,4.751318,1781126986.261669,214,110,
54,4.799758,1781126986.310109,214,110,
55,4.853760,1781126986.364111,214,110,
56,4.903226,1781126986.413577,214,110,
57,4.954917,1781126986.465268,214,110,
58,5.014998,1781126986.525349,214,110,
59,5.077556,1781126986.587907,214,110,auto_front_wall
60,5.172734,1781126986.683084,214,110,
61,5.266824,1781126986.777175,214,110,
62,5.345811,1781126986.856162,214,110,
63,5.410713,1781126986.921064,214,110,
64,5.467206,1781126986.977557,236,107,
65,5.527858,1781126987.038209,242,104,
66,5.591536,1781126987.101887,242,101,
67,5.665150,1781126987.175501,242,98,
68,5.738435,1781126987.248786,242,95,
69,5.809111,1781126987.319462,242,92,
70,5.873966,1781126987.384317,242,89,
71,5.945172,1781126987.455523,242,86,
72,6.012109,1781126987.522460,242,83,
73,6.087180,1781126987.597531,228,80,
74,6.195272,1781126987.705623,242,83,
75,6.322773,1781126987.833124,242,82,
76,6.405666,1781126987.916017,242,85,
77,6.476463,1781126987.986814,242,88,
78,6.542671,1781126988.053022,242,87,
79,6.606479,1781126988.116830,242,90,
80,6.678584,1781126988.188935,242,87,
81,6.750287,1781126988.260638,242,85,
82,6.816658,1781126988.327009,242,85,
83,6.892298,1781126988.402649,242,85,
84,6.962845,1781126988.473196,242,86,
85,7.041570,1781126988.551921,242,88,
86,7.121662,1781126988.632013,242,88,
87,7.217637,1781126988.727988,242,86,
88,7.280446,1781126988.790797,214,93,
89,7.338848,1781126988.849199,214,100,
90,7.414953,1781126988.925304,214,107,
91,7.476145,1781126988.986496,214,110,
92,7.534641,1781126989.044991,214,110,
93,7.602182,1781126989.112533,214,110,auto_front_wall
94,7.664016,1781126989.174366,214,110,
95,7.732298,1781126989.242649,214,110,
96,7.795167,1781126989.305518,214,110,
97,7.846648,1781126989.356999,214,110,
98,7.897748,1781126989.408099,214,110,
99,7.949244,1781126989.459595,214,110,
100,8.000234,1781126989.510585,214,110,
101,8.055971,1781126989.566322,214,110,
102,8.136213,1781126989.646564,214,110,
103,8.210434,1781126989.720785,214,110,
104,8.279453,1781126989.789804,214,110,
105,8.342617,1781126989.852968,214,110,
106,8.424882,1781126989.935233,214,110,
107,8.475542,1781126989.985893,214,110,
108,8.527990,1781126990.038341,214,110,
109,8.582865,1781126990.093216,214,110,
110,8.664308,1781126990.174659,214,110,
111,8.743140,1781126990.253490,214,110,
112,8.810554,1781126990.320905,214,110,
113,8.866561,1781126990.376912,214,110,
114,8.927246,1781126990.437597,214,110,
115,8.984720,1781126990.495071,214,110,
116,9.055517,1781126990.565868,214,110,auto_front_wall
117,9.165246,1781126990.675597,214,110,
118,9.266344,1781126990.776695,242,107,
119,9.334663,1781126990.845014,242,104,
120,9.407962,1781126990.918313,242,101,
121,9.506278,1781126991.016629,242,98,
122,9.575819,1781126991.086169,242,95,
123,9.661548,1781126991.171899,236,92,
124,9.740258,1781126991.250609,242,89,
125,9.809428,1781126991.319779,242,86,
126,9.872386,1781126991.382737,242,86,
127,9.935478,1781126991.445829,242,86,
128,10.017985,1781126991.528336,228,89,
129,10.095488,1781126991.605839,242,86,
130,10.190713,1781126991.701064,242,86,
131,10.253152,1781126991.763503,242,86,
132,10.318135,1781126991.828486,242,86,
133,10.386416,1781126991.896767,242,86,
134,10.447729,1781126991.958080,242,86,
135,10.533849,1781126992.044200,242,86,
136,10.600957,1781126992.111308,242,86,
137,10.700794,1781126992.211145,242,86,
138,10.769356,1781126992.279707,242,86,
139,10.832126,1781126992.342477,242,86,
140,10.892794,1781126992.403145,242,86,
141,10.956096,1781126992.466447,242,86,
142,11.020356,1781126992.530707,242,86,
143,11.089112,1781126992.599463,242,86,
144,11.200958,1781126992.711309,242,86,
145,11.281322,1781126992.791673,242,86,
146,11.337406,1781126992.847757,242,86,
147,11.394897,1781126992.905248,242,86,
148,11.461411,1781126992.971762,242,86,
149,11.545439,1781126993.055790,242,86,manual_error
150,11.627996,1781126993.138347,242,86,
151,11.714433,1781126993.224784,242,86,
152,11.777303,1781126993.287654,242,86,
153,11.842290,1781126993.352641,242,89,
154,11.907094,1781126993.417444,242,90,
