frame_index,elapsed_seconds,epoch_seconds,current_speed,current_angle,marker
0,0.604046,1781127627.550837,0,86,
1,0.699847,1781127627.646638,224,86,
2,0.818160,1781127627.764951,198,82,
3,0.886967,1781127627.833758,198,78,
4,1.001959,1781127627.948750,198,76,
5,1.085164,1781127628.031955,214,80,
6,1.151008,1781127628.097799,214,81,
7,1.225384,1781127628.172175,214,81,
8,1.301392,1781127628.248183,214,82,
9,1.387410,1781127628.334201,214,82,
10,1.462310,1781127628.409101,214,85,
11,1.526665,1781127628.473456,214,85,
12,1.591345,1781127628.538136,214,86,
13,1.656458,1781127628.603249,214,90,
14,1.776406,1781127628.723197,214,89,
15,1.860958,1781127628.807749,196,96,
16,1.941748,1781127628.888539,196,103,
17,2.044073,1781127628.990864,196,110,
18,2.131156,1781127629.077947,192,106,
19,2.202711,1781127629.149502,196,110,
20,2.309196,1781127629.255987,196,110,
21,2.391685,1781127629.338476,196,110,
22,2.491318,1781127629.438109,196,110,
23,2.572244,1781127629.519035,196,110,auto_front_wall
24,2.675074,1781127629.621865,196,110,
25,2.767148,1781127629.713939,196,110,
26,2.846040,1781127629.792831,196,110,
27,2.916471,1781127629.863262,196,110,
28,2.991754,1781127629.938545,196,110,
29,3.075912,1781127630.022703,196,110,
30,3.163862,1781127630.110653,196,110,
31,3.262862,1781127630.209653,196,110,
32,3.324451,1781127630.271242,196,110,
33,3.399318,1781127630.346109,196,110,
34,3.507440,1781127630.454231,196,110,
35,3.566439,1781127630.513230,196,110,
36,3.636469,1781127630.583260,196,110,
37,3.719914,1781127630.666705,196,110,
38,3.799538,1781127630.746329,196,110,
39,3.882645,1781127630.829436,198,106,
40,3.954582,1781127630.901373,214,102,
41,4.027006,1781127630.973797,204,98,
42,4.100568,1781127631.047359,198,94,
43,4.187320,1781127631.134111,224,90,
44,4.267035,1781127631.213826,224,86,
45,4.342782,1781127631.289573,198,90,
46,4.481545,1781127631.428336,204,90,
47,4.550801,1781127631.497592,204,94,
48,4.632634,1781127631.579425,198,90,
49,4.706965,1781127631.653756,198,94,
50,4.797387,1781127631.744178,214,90,
51,4.864393,1781127631.811183,214,88,
52,4.934850,1781127631.881641,204,90,
53,5.024300,1781127631.971091,198,90,
54,5.125261,1781127632.072052,198,94,
55,5.207499,1781127632.154290,214,90,
56,5.305882,1781127632.252673,214,86,
57,5.371593,1781127632.318384,214,86,
58,5.435184,1781127632.381975,214,86,
59,5.507853,1781127632.454644,214,86,
60,5.580255,1781127632.527046,214,85,
61,5.660458,1781127632.607249,214,85,
62,5.736801,1781127632.683592,214,86,manual_error
63,5.819710,1781127632.766501,214,86,
64,5.899665,1781127632.846456,214,86,
65,5.976260,1781127632.923051,214,86,
