frame_index,elapsed_seconds,epoch_seconds,current_speed,current_angle,marker
0,1.812104,1781127588.568923,0,86,
1,1.907703,1781127588.664523,224,86,
2,1.971816,1781127588.728635,196,79,
3,2.038697,1781127588.795516,196,72,
4,2.101576,1781127588.858396,196,65,
5,2.156556,1781127588.913375,196,64,
6,2.211447,1781127588.968267,196,64,
7,2.271785,1781127589.028605,196,64,auto_front_wall
8,2.338999,1781127589.095818,196,64,
9,2.412009,1781127589.168828,196,64,
10,2.470510,1781127589.227330,196,64,
11,2.530613,1781127589.287432,196,64,
12,2.587636,1781127589.344455,196,64,
13,2.639850,1781127589.396670,196,64,
14,2.692627,1781127589.449446,196,64,
15,2.748809,1781127589.505629,196,64,
16,2.810647,1781127589.567467,196,64,
17,2.874687,1781127589.631506,196,64,
18,2.944797,1781127589.701616,196,64,
19,2.997167,1781127589.753986,196,64,
20,3.047202,1781127589.804022,196,64,
21,3.096818,1781127589.853637,196,64,
22,3.146556,1781127589.903376,196,64,
23,3.209936,1781127589.966755,196,64,
24,3.258483,1781127590.015303,196,64,
25,3.306576,1781127590.063396,196,64,
26,3.361172,1781127590.117992,196,64,
27,3.416360,1781127590.173179,196,64,
28,3.469450,1781127590.226269,196,64,
29,3.535031,1781127590.291851,196,64,
30,3.588118,1781127590.344937,196,64,
31,3.640004,1781127590.396823,196,64,
32,3.696782,1781127590.453601,196,64,auto_front_wall
33,3.754328,1781127590.511147,196,64,
34,3.812509,1781127590.569328,196,64,
35,3.878888,1781127590.635708,196,64,
36,3.953339,1781127590.710158,196,64,
37,4.016543,1781127590.773362,224,68,
38,4.080640,1781127590.837459,198,72,
39,4.148864,1781127590.905684,214,76,
40,4.211411,1781127590.968231,214,80,
41,4.274076,1781127591.030895,214,84,
42,4.339248,1781127591.096067,198,80,
43,4.408726,1781127591.165545,198,82,
44,4.479757,1781127591.236576,198,82,
45,4.541996,1781127591.298815,204,82,
46,4.605590,1781127591.362409,204,82,
47,4.666957,1781127591.423777,204,81,
48,4.729824,1781127591.486643,198,77,
49,4.789956,1781127591.546776,204,81,
50,4.857117,1781127591.613936,198,77,
51,4.922530,1781127591.679349,204,81,
52,4.996868,1781127591.753687,198,82,
53,5.056206,1781127591.813026,198,78,
54,5.116092,1781127591.872912,214,80,
55,5.174450,1781127591.931269,214,82,
56,5.232348,1781127591.989167,214,82,
57,5.289904,1781127592.046724,214,86,
58,5.349433,1781127592.106253,214,84,
59,5.428937,1781127592.185757,214,84,
60,5.487514,1781127592.244333,214,84,
61,5.542908,1781127592.299728,214,86,
62,5.597627,1781127592.354446,204,82,
63,5.649902,1781127592.406721,214,86,
64,5.703302,1781127592.460122,196,79,
65,5.757577,1781127592.514396,196,72,
66,5.812836,1781127592.569655,196,65,
67,5.875473,1781127592.632293,196,64,
68,5.934494,1781127592.691314,196,64,
69,6.000591,1781127592.757410,196,64,
70,6.059896,1781127592.816715,196,64,auto_front_wall
71,6.119467,1781127592.876287,196,64,
72,6.175848,1781127592.932668,196,64,
73,6.229529,1781127592.986349,196,64,
74,6.285315,1781127593.042135,196,64,
75,6.354243,1781127593.111063,196,64,
76,6.417053,1781127593.173873,196,64,
77,6.471446,1781127593.228265,196,64,
78,6.524497,1781127593.281317,196,64,
79,6.577643,1781127593.334463,192,68,
80,6.630961,1781127593.387780,192,72,manual_error
81,6.689673,1781127593.446493,192,76,
82,6.744946,1781127593.501765,192,80,
83,6.801259,1781127593.558079,192,81,
84,6.863518,1781127593.620338,224,85,
85,6.926109,1781127593.682928,224,86,
86,6.985684,1781127593.742503,224,86,
87,7.055835,1781127593.812654,224,86,
88,7.109604,1781127593.866423,214,86,
