frame_index,elapsed_seconds,epoch_seconds,current_speed,current_angle,marker
0,0.604210,1781121972.455544,0,86,
1,0.790808,1781121972.642141,255,86,mouse_click_error
2,0.915759,1781121972.767092,214,79,
3,0.976566,1781121972.827900,214,72,
4,1.035346,1781121972.886680,214,65,
5,1.099590,1781121972.950923,214,64,
6,1.161474,1781121973.012808,214,64,auto_front_wall
7,1.228904,1781121973.080237,214,64,
8,1.305978,1781121973.157311,214,64,
9,1.369344,1781121973.220677,214,64,
10,1.429690,1781121973.281023,214,64,
11,1.492138,1781121973.343472,214,64,
12,1.556397,1781121973.407731,214,64,
13,1.624948,1781121973.476281,214,64,
14,1.689872,1781121973.541206,214,64,
15,1.752949,1781121973.604283,214,64,
16,1.831679,1781121973.683012,214,64,
17,1.894216,1781121973.745550,214,64,
18,1.961292,1781121973.812626,214,64,
19,2.015755,1781121973.867088,214,64,
20,2.073645,1781121973.924979,214,64,
21,2.148970,1781121974.000303,214,64,
22,2.209904,1781121974.061238,214,64,
23,2.287769,1781121974.139103,214,64,
24,2.367104,1781121974.218437,214,64,
25,2.427982,1781121974.279316,214,64,
26,2.491521,1781121974.342855,214,64,
27,2.555248,1781121974.406581,214,64,
28,2.620004,1781121974.471338,255,67,
29,2.685840,1781121974.537174,242,70,
30,2.751375,1781121974.602709,242,73,
31,2.820695,1781121974.672029,242,76,
32,2.887784,1781121974.739117,242,79,
33,2.957589,1781121974.808923,228,82,
34,3.024421,1781121974.875754,236,82,
35,3.089779,1781121974.941112,236,82,
36,3.166124,1781121975.017458,255,85,
37,3.232658,1781121975.083992,228,82,
38,3.302979,1781121975.154313,255,85,
39,3.377176,1781121975.228509,242,86,
40,3.443603,1781121975.294937,242,86,
41,3.502364,1781121975.353698,242,89,
42,3.569767,1781121975.421101,242,86,
43,3.633798,1781121975.485132,242,83,
44,3.697618,1781121975.548952,242,83,
45,3.763708,1781121975.615041,242,83,
46,3.828881,1781121975.680214,242,83,
47,3.896061,1781121975.747394,242,83,
48,3.962740,1781121975.814074,242,83,
49,4.025604,1781121975.876937,242,83,
50,4.088805,1781121975.940138,242,82,
51,4.152755,1781121976.004088,242,82,
52,4.228494,1781121976.079828,242,82,
53,4.297103,1781121976.148437,228,79,
