frame_index,elapsed_seconds,epoch_seconds,current_speed,current_angle,marker
0,0.612561,1781122171.474638,0,86,
1,0.697213,1781122171.559289,255,86,
2,0.769789,1781122171.631865,255,86,
3,0.836099,1781122171.698175,242,86,
4,0.897923,1781122171.759999,242,86,
5,0.964278,1781122171.826354,228,83,
6,1.028877,1781122171.890953,242,81,
7,1.100466,1781122171.962542,242,81,
8,1.163062,1781122172.025138,242,81,
9,1.225133,1781122172.087209,242,83,
10,1.307438,1781122172.169514,242,83,
11,1.372794,1781122172.234870,242,83,
12,1.433291,1781122172.295367,242,84,
13,1.493261,1781122172.355337,242,84,
14,1.555339,1781122172.417415,242,84,
15,1.617434,1781122172.479510,242,86,
16,1.677315,1781122172.539391,242,84,
17,1.739206,1781122172.601282,242,86,
18,1.802843,1781122172.664919,242,84,
19,1.863765,1781122172.725841,242,86,
20,1.934035,1781122172.796111,242,84,
21,1.998149,1781122172.860225,242,86,
22,2.058820,1781122172.920896,242,84,
23,2.126652,1781122172.988728,242,86,
24,2.184222,1781122173.046298,242,88,
25,2.262308,1781122173.124384,214,95,
26,2.321913,1781122173.183989,214,102,
27,2.375212,1781122173.237288,214,109,
28,2.426966,1781122173.289042,214,110,
29,2.479099,1781122173.341175,214,110,
30,2.531785,1781122173.393861,214,110,
31,2.588058,1781122173.450134,214,110,auto_front_wall
32,2.645837,1781122173.507913,214,110,
33,2.702870,1781122173.564946,214,110,
34,2.770176,1781122173.632252,214,110,
35,2.830036,1781122173.692112,214,110,
36,2.889435,1781122173.751511,214,110,
37,2.947810,1781122173.809886,214,110,
38,3.007247,1781122173.869323,214,110,
39,3.065463,1781122173.927539,214,110,
40,3.134023,1781122173.996099,214,110,
41,3.196617,1781122174.058693,214,110,
42,3.257617,1781122174.119693,214,110,
43,3.317472,1781122174.179548,214,110,
44,3.367070,1781122174.229146,214,110,
45,3.417205,1781122174.279281,214,110,
46,3.465127,1781122174.327203,214,110,
47,3.512335,1781122174.374411,214,110,
48,3.559204,1781122174.421280,214,110,
49,3.604819,1781122174.466895,214,110,
50,3.651347,1781122174.513423,214,110,
51,3.701147,1781122174.563223,214,110,
52,3.759797,1781122174.621873,214,110,
53,3.816365,1781122174.678442,214,110,
54,3.867379,1781122174.729455,214,110,
55,3.917779,1781122174.779855,214,110,
56,3.969249,1781122174.831326,214,110,
57,4.028945,1781122174.891021,214,110,auto_front_wall
58,4.089098,1781122174.951174,214,110,
59,4.160068,1781122175.022144,214,110,
60,4.221882,1781122175.083958,214,110,
61,4.288512,1781122175.150589,242,107,
62,4.351979,1781122175.214055,242,104,
63,4.419128,1781122175.281204,242,101,
64,4.485200,1781122175.347276,242,98,
65,4.552773,1781122175.414849,242,95,
66,4.621583,1781122175.483659,236,92,
67,4.688872,1781122175.550948,236,90,
68,4.757044,1781122175.619120,236,90,
69,4.823475,1781122175.685551,228,93,
70,4.893569,1781122175.755645,236,91,
71,4.965764,1781122175.827840,236,90,
72,5.040281,1781122175.902357,236,90,
73,5.102116,1781122175.964192,236,93,
74,5.183825,1781122176.045901,242,90,
75,5.248875,1781122176.110951,255,87,
76,5.316328,1781122176.178404,236,90,
77,5.380101,1781122176.242177,236,90,
78,5.444021,1781122176.306097,255,87,
79,5.504573,1781122176.366649,255,86,
80,5.567289,1781122176.429365,255,86,
81,5.627561,1781122176.489637,236,89,
82,5.686127,1781122176.548203,236,90,
83,5.741814,1781122176.603890,255,87,
84,5.807573,1781122176.669649,255,86,
85,5.861598,1781122176.723674,255,86,
86,5.915863,1781122176.777939,255,86,
87,5.971472,1781122176.833548,255,86,
88,6.027495,1781122176.889571,255,86,
89,6.081690,1781122176.943766,236,89,
90,6.136033,1781122176.998109,255,86,
91,6.200695,1781122177.062771,236,89,
92,6.257277,1781122177.119353,255,86,
93,6.324437,1781122177.186513,255,86,
94,6.393332,1781122177.255408,255,86,
95,6.452013,1781122177.314089,236,89,
96,6.505576,1781122177.367652,228,92,
97,6.555929,1781122177.418005,255,89,
98,6.608912,1781122177.470989,255,86,
99,6.662705,1781122177.524781,255,86,
100,6.718016,1781122177.580092,255,86,
101,6.780718,1781122177.642794,242,86,
102,6.836956,1781122177.699032,242,86,
103,6.894215,1781122177.756291,242,86,
104,6.952055,1781122177.814131,242,86,
105,7.014465,1781122177.876541,228,89,
106,7.076129,1781122177.938205,228,86,
107,7.135514,1781122177.997590,242,86,
108,7.193455,1781122178.055532,228,89,
109,7.266396,1781122178.128472,236,90,
110,7.338830,1781122178.200906,242,87,
111,7.392362,1781122178.254438,214,94,
112,7.453648,1781122178.315724,214,101,
113,7.509206,1781122178.371282,214,108,
114,7.562461,1781122178.424537,214,110,
115,7.616656,1781122178.478732,214,110,
116,7.667622,1781122178.529698,214,110,
117,7.722632,1781122178.584708,214,110,auto_front_wall
118,7.784224,1781122178.646300,214,110,
119,7.837095,1781122178.699171,214,110,
120,7.885918,1781122178.747994,214,110,
121,7.935383,1781122178.797459,214,110,
122,7.985276,1781122178.847352,214,110,
123,8.038806,1781122178.900882,214,110,
124,8.088469,1781122178.950545,214,110,
125,8.138546,1781122179.000622,214,110,
126,8.188508,1781122179.050584,214,110,
127,8.244296,1781122179.106372,214,110,
128,8.307746,1781122179.169822,214,110,
129,8.364550,1781122179.226626,214,110,
130,8.414175,1781122179.276251,214,110,
131,8.464048,1781122179.326124,214,110,
132,8.514783,1781122179.376859,214,110,
133,8.559448,1781122179.421524,214,110,
134,8.605983,1781122179.468059,214,110,
135,8.654627,1781122179.516703,214,110,
136,8.705914,1781122179.567990,214,110,
137,8.767053,1781122179.629129,214,110,
138,8.828858,1781122179.690934,214,110,
139,8.880179,1781122179.742255,214,110,
140,8.936527,1781122179.798603,214,110,
141,8.991418,1781122179.853494,214,110,
142,9.048571,1781122179.910647,214,110,
143,9.106061,1781122179.968137,255,107,
144,9.163257,1781122180.025333,255,104,
145,9.222261,1781122180.084337,255,101,
146,9.286589,1781122180.148665,242,98,
147,9.366333,1781122180.228409,242,95,
148,9.429445,1781122180.291521,228,92,
149,9.490838,1781122180.352914,242,89,
150,9.552747,1781122180.414823,242,86,
151,9.615000,1781122180.477077,242,89,
152,9.680089,1781122180.542165,242,86,
153,9.743914,1781122180.605990,242,83,
154,9.819206,1781122180.681282,242,81,
