time_s,mode,x_cm,y_cm,heading_deg,wheel_actual_deg,wheel_target_deg,planner_selected_deg,servo_command_deg,speed_cm_s,target_speed_cm_s,acceleration_cm_s2,selected_radius_cm,target_distance_cm,required_lateral_shift_cm,current_wall_clearance_cm,front_clearance_cm,recovery_phase,recovery_side,forward_projection_cm,obstacle_in_forward_projection,recovery_reverse_distance_cm,recovery_advance_distance_cm,recovery_reverse_steering_deg,safety_limit_triggered,minimum_distance_cm,minimum_obstacle_cm,minimum_wall_cm,physical_collision,planner_state,phase,active_target_id,selected_pass_side,decision_reason,candidates_evaluated,calculation_time_ms,lap_completed,straight_progress,track_direction,memory_states_json,obstacle_distances_json
0.0,AUTO,125.0,280.0,180.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,,,,,,,,,,,,,,11.4,31.264,11.4,False,FOLLOW,FOLLOW,,,keyboard_control,0,0.0,False,0,pending_first_line,{},"{""1"": 170.302, ""2"": 31.264, ""3"": 68.337, ""4"": 129.744, ""5"": 209.24, ""6"": 217.885}"
0.05,AUTO,124.888,280.0,-180.0,0.0,0.0,0.0,92.0,2.25,20.0,45.0,,,,,,,,,,,,,,11.4,31.307,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_switched,1,2.3635830002604052,False,0,pending_first_line,{},"{""1"": 170.383, ""2"": 31.307, ""3"": 68.439, ""4"": 129.699, ""5"": 209.234, ""6"": 217.917}"
0.1,AUTO,124.663,280.0,-180.0,0.0,0.0,0.0,92.0,4.5,20.0,45.0,,,,,,,,,,,,,,11.4,31.394,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_switched,1,2.3635830002604052,False,0,pending_first_line,{},"{""1"": 170.544, ""2"": 31.394, ""3"": 68.643, ""4"": 129.609, ""5"": 209.221, ""6"": 217.981}"
0.15,AUTO,124.325,280.0,-180.0,0.0,0.0,0.0,92.0,6.75,20.0,45.0,,,,,,,,,,,,,,11.4,31.527,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_switched,1,2.3635830002604052,False,0,pending_first_line,{},"{""1"": 170.786, ""2"": 31.527, ""3"": 68.949, ""4"": 129.475, ""5"": 209.203, ""6"": 218.078}"
0.2,AUTO,123.875,280.0,-180.0,0.0,0.0,0.0,92.0,9.0,20.0,45.0,,,,,,,,,,,,,,11.4,31.71,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_switched,1,2.3635830002604052,False,0,pending_first_line,{},"{""1"": 171.11, ""2"": 31.71, ""3"": 69.358, ""4"": 129.298, ""5"": 209.179, ""6"": 218.207}"
0.25,AUTO,123.312,280.0,-180.0,0.0,0.0,0.0,92.0,11.25,20.0,45.0,,,,,,,,,,,,,,11.4,31.945,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_switched,1,2.3635830002604052,False,0,pending_first_line,{},"{""1"": 171.515, ""2"": 31.945, ""3"": 69.87, ""4"": 129.078, ""5"": 209.151, ""6"": 218.371}"
0.3,AUTO,122.638,280.0,-180.0,0.0,0.0,0.0,92.0,13.5,20.0,45.0,,,,,,,,,,,,,,11.4,32.239,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_kept,2,2.1601249973173253,False,0,pending_first_line,{},"{""1"": 172.002, ""2"": 32.239, ""3"": 70.485, ""4"": 128.816, ""5"": 209.119, ""6"": 218.568}"
0.35,AUTO,121.85,280.0,-180.0,0.0,0.0,0.0,92.0,15.75,20.0,45.0,,,,,,,,,,,,,,11.4,32.595,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_kept,2,2.1601249973173253,False,0,pending_first_line,{},"{""1"": 172.572, ""2"": 32.595, ""3"": 71.204, ""4"": 128.515, ""5"": 209.084, ""6"": 218.801}"
0.4,AUTO,120.95,280.0,-180.0,0.0,0.0,0.0,92.0,18.0,20.0,45.0,,,,,,,,,,,,,,11.4,33.021,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_kept,2,2.1601249973173253,False,0,pending_first_line,{},"{""1"": 173.225, ""2"": 33.021, ""3"": 72.027, ""4"": 128.177, ""5"": 209.048, ""6"": 219.071}"
0.45,AUTO,119.95,280.0,-180.0,0.0,0.0,0.0,92.0,20.0,20.0,40.0,,,,,,,,,,,,,,11.4,33.517,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_kept,2,2.1601249973173253,False,0,pending_first_line,{},"{""1"": 173.954, ""2"": 33.517, ""3"": 72.944, ""4"": 127.806, ""5"": 209.013, ""6"": 219.374}"
0.5,AUTO,118.95,280.0,-180.0,0.0,0.0,0.0,92.0,20.0,20.0,0.0,,,,,,,,,,,,,,11.4,34.034,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_kept,2,2.1601249973173253,False,0,pending_first_line,{},"{""1"": 174.685, ""2"": 34.034, ""3"": 73.863, ""4"": 127.443, ""5"": 208.983, ""6"": 219.681}"
0.55,AUTO,117.95,280.0,-180.0,0.0,0.0,0.0,92.0,20.0,20.0,0.0,,,,,,,,,,,,,,11.4,34.573,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_kept,2,2.1601249973173253,False,0,pending_first_line,{},"{""1"": 175.419, ""2"": 34.573, ""3"": 74.785, ""4"": 127.086, ""5"": 208.957, ""6"": 219.993}"
0.6,AUTO,116.95,280.0,-180.0,0.0,0.0,0.0,92.0,20.0,20.0,0.0,,,,,,,,,,,,,,11.4,35.131,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_switched,2,4.695540999819059,False,0,pending_first_line,{},"{""1"": 176.155, ""2"": 35.131, ""3"": 75.708, ""4"": 126.737, ""5"": 208.936, ""6"": 220.308}"
0.65,AUTO,115.95,280.0,-180.0,0.0,0.0,0.0,92.0,20.0,20.0,0.0,,,,,,,,,,,,,,11.4,35.709,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_switched,2,4.695540999819059,False,0,pending_first_line,{},"{""1"": 176.894, ""2"": 35.709, ""3"": 76.633, ""4"": 126.394, ""5"": 208.92, ""6"": 220.628}"
0.7,AUTO,114.95,280.0,-180.0,0.0,0.0,0.0,92.0,20.0,20.0,0.0,,,,,,,,,,,,,,11.4,36.306,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_switched,2,4.695540999819059,False,0,pending_first_line,{},"{""1"": 177.636, ""2"": 36.306, ""3"": 77.56, ""4"": 126.058, ""5"": 208.908, ""6"": 220.952}"
0.75,AUTO,113.95,280.0,-180.0,0.0,0.0,0.0,92.0,20.0,20.0,0.0,,,,,,,,,,,,,,11.4,36.92,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_switched,2,4.695540999819059,False,0,pending_first_line,{},"{""1"": 178.38, ""2"": 36.92, ""3"": 78.489, ""4"": 125.73, ""5"": 208.902, ""6"": 221.279}"
0.8,AUTO,112.95,280.0,-180.0,0.0,0.0,0.0,92.0,20.0,20.0,0.0,,,,,,,,,,,,,,11.4,37.55,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_switched,2,4.695540999819059,False,0,pending_first_line,{},"{""1"": 179.127, ""2"": 37.55, ""3"": 79.42, ""4"": 125.408, ""5"": 208.9, ""6"": 221.611}"
0.85,AUTO,111.95,280.0,-180.0,0.0,0.0,0.0,92.0,20.0,20.0,0.0,,,,,,,,,,,,,,11.4,38.196,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_switched,2,4.559209002763964,False,0,pending_first_line,{},"{""1"": 179.876, ""2"": 38.196, ""3"": 80.352, ""4"": 125.094, ""5"": 208.9, ""6"": 221.947}"
0.9,AUTO,110.95,280.0,-180.0,0.0,0.0,0.0,92.0,20.0,20.0,0.0,,,,,,,,,,,,,,11.4,38.858,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_switched,2,4.559209002763964,False,0,pending_first_line,{},"{""1"": 180.628, ""2"": 38.858, ""3"": 81.286, ""4"": 124.787, ""5"": 208.9, ""6"": 222.287}"
0.95,AUTO,109.95,280.0,-180.0,0.0,0.0,0.0,92.0,20.0,20.0,0.0,,,,,,,,,,,,,,11.4,39.533,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_switched,2,4.559209002763964,False,0,pending_first_line,{},"{""1"": 181.382, ""2"": 39.533, ""3"": 82.221, ""4"": 124.487, ""5"": 208.9, ""6"": 222.631}"
1.0,AUTO,108.95,280.0,-180.0,0.0,0.0,0.0,92.0,20.0,20.0,0.0,,,,,,,,,,,,,,11.4,40.222,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_switched,2,4.559209002763964,False,0,pending_first_line,{},"{""1"": 182.138, ""2"": 40.222, ""3"": 83.158, ""4"": 124.194, ""5"": 208.9, ""6"": 222.978}"
1.05,AUTO,107.95,280.0,-180.0,0.0,0.0,0.0,92.0,20.0,20.0,0.0,,,,,,,,,,,,,,11.4,40.924,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_switched,2,4.559209002763964,False,0,pending_first_line,{},"{""1"": 182.897, ""2"": 40.924, ""3"": 84.097, ""4"": 123.909, ""5"": 208.9, ""6"": 223.33}"
1.1,AUTO,106.95,280.0,-180.0,0.0,0.0,0.0,92.0,20.0,20.0,0.0,,,,,,,,,,,,,,11.4,41.638,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_switched,2,4.3740830005845055,False,0,pending_first_line,{},"{""1"": 183.658, ""2"": 41.638, ""3"": 85.037, ""4"": 123.631, ""5"": 208.9, ""6"": 223.686}"
1.15,AUTO,105.95,280.0,-180.0,0.0,0.0,0.0,92.0,20.0,20.0,0.0,,,,,,,,,,,,,,11.4,42.363,11.4,False,FOLLOW,FOLLOW,,,flexible_commitment_switched,2,4.3740830005845055,False,0,pending_first_line,{},"{""1"": 184.421, ""2"": 42.363, ""3"": 85.978, ""4"": 123.361, ""5"": 208.9, ""6"": 224.045}"
